Job Number,,Hours on the job,Dates worked on,
2109E,,7.5,"25/5, 26/5, 27/5",
2110T,,,,
2111N,,,,
2112E,,,,
2113N,,,,
2114T,,,,
2115E,,,,
2116E,,,,
2117E,,,,
2118N,,,,
2119E,,,,
2120E,,,,
2121N,,,,
2122T,,,,
2123E,,,,
2124N,,,,
2125N,,,,
2126K,,1.5,18-May,
2127K,,,,
2128N,,,,
2129T,,,,
2130T,,,,
2131E,,5.75,"24/5, 25/5",
2132E,,,,
2133E,,,,
2134N,,,,
2135E,,,,
2136E,,,,
2137E,,,,
2138K,,6.5,"28/5, 31/5, 16/6",
2139N,,3.75,27-May,
2140N,,,,
2141N,,,,
2142K,,3.5,"7/9, 14/9",
2143K,,12.75,"19/7, 9/8, 2/9, 3/9, 6/9",
2144K,,,,
2145T,,,,
2146E,,0.75,28-May,
2147E,,,,
2148E,,,,
2149N,,,,
2150E,,,,
2151K,,,,
2152K,,1.5,25-Jun,
2153T,,,,
2154N,,,,
2155E,,,,
2156N,,,,
2157N,,,,
2158K,,,,
2159N,,3,18-Jun,
2160T,,,,
2161N,,,,
2162N,,,,
2163N,,,,
2164N,,,,
2165E,,,,
2166E,,,,
2167K,,,,
2168E,,,,
2169T,,,,
2170T,,,,
2171N,,,,
2172N,,,,
2173T,,,,
2174E,,,,
2175E,,,,
2176N,,,,
2177K,,,,
2178E,,,,
2179T,,,,
2180E,,0.75,14-Jun,
2181N,,1,16-Jun,
2182E,,,,
2183E,,,,
2184N,,,,
2185E,,1.25,"22/6, 23/6",
2186E,,,,
2187K,,12,"14/6, 15/6",
2188E,,,,
2189E,,2.75,20-Jul,
2190T,,,,
2191K,,7.25,21-Jun,
2192T,,,,
2193E,,,,
2194T,,,,
2195T,,0.5,22-Jun,
2196K,,1.25,17-Jun,
2197E,,,,
2198E,,,,
2199E,,38,"24/6, 25/6, 27/7, 12/10, 15/10, 18/10, 19/10, 27/10, 1/11, 2/11, 3/11, 4/11",
2200N,,4.75,"13/7, 14/7",
2201N,,,,
2202N,,,,
2203E,,5,"21/6, 22/6",
2204E,,0.75,22-Jun,
2205K,,,,
2206N,,,,
2207N,,,,
2208T,,,,
2209T,,,,
2210T,,1.25,13-Jul,
2211E,,81,"25/6, 28/6, 29/6, 30/6, 1/7, 2/7, 5/7, 20/7, 21/7, 22/7, 23/7, 26/7, 27/7, 9/8",
2212N,,,,
2213N,,,,
2214N,,,,
2215N,,1.25,23-Jun,
2216E,,,,
2217T,,10.75,"28/7, 29/7, 13/8, 2/9, 1/11",
2218K,,,,
2219N,,,,
2220E,,,,
2221E,,,,
2222N,,,,
2223T,,,,
2224E,,9,"8/7, 9/7",
2225E,,,,
2226E,,,,
2227N,,,,
2228K,,,,
2229N,,,,
2230N,,,,
2231K,,,,
2232E,,,,
2233E,,14.25,"7/7, 8/7, 9/7, 12/7, 13/7",
2234E,,,,
2235E,,,,
2236E,,,,
2237E,,,,
2238E,,1.5,7-Jul,
2239K,,,,
2240E,,,,
2241E,,3.5,7-Jul,
2242T,,0.5,14-Jul,
2243E,,7,"26/10, 27/10",
2244N,,,,
2245T,,,,
2246E,,,,
2247N,,,,
2248N,,,,
2249N,,,,
2250E,,,,
2251E,,,,
2252N,,,,
2253E,,,,
2254N,,,,
2255K,,,,
2256T,,2,18-Oct,
2257E,,,,
2258E,,3,"17, 14/7",
2259N,,3.75,19-Jul,
2260T,,18.5,"22/7, 14/9, 7/10, 8/10, 11/10",
2261E,,,,
2262E,,0.5,14-Jul,
2263E,,1.5,14-Jul,
2264T,,,,
2265N,,,,
2266E,,,,
2267E,,0.25,20-Jul,
2268E,,2.5,1-Sep,
2269K,,1.5,16-Jul,
2270N,,,,
2271E,,,,
2272T,,,,
2273N,,,,
2274N,,,,
2275N,,,,
2276E,,3.75,"15/7, 16/7",
2277K,,,,
2278N,,,,
2279K,,,,
2280N,,,,
2281E,,,,
2282N,,2.25,7-Oct,
2283N,,,,
2284E,,,,
2285E,,,,
2286T,,,,
2287T,,,,
2288T,,,,
2289E,,,,
2290T,,,,
2291E,,,,
2292E,,,,
2293T,,1,22-Jul,
2294T,,,,
2295T,,159,"14/9, 27/9, 28/9, 29/9, 30/9, 1/10, 15/11, 16/11, 17/11, 18/11, 19/11,22/11,23/11,24/11,25/11,26/11,29/11,30/11,1/12,2/12,3/12",
2296E,,3.25,"27/7, 28/7",
2297E,,,,
2298N,,,,
2299T,,2,27-Jul,
2300E,,,,
2301N,,,,
2302N,,,,
2303N,,,,
2304E,,,,
2305E,,,,
2306E,,,,
2307N,,,,
2308T,,,,
2309E,,15,"1/9, 2/9, 6/9, 13/9, 14/9",
2310N,,,,
2311N,,,,
2312K,,,,
2313E,,,,
2314N,,,,
2315N,,,,
2316N,,,,
2317N,,,,
2318E,,,,
2319T,,,,
2320T,,,,
2321N,,,,
2322N,,,,
2323N,,,,
2324N,,,,
2325N,,,,
2326E,,,,
2327N,,,,
2328T,,,,
2329N,,,,
2330E,,,,
2331T,,,,
2332E,,,,
2333N,,,,
2334T,,,,
2335E,,,,
2336E,,,,
2337N,,,,
2338E,,,,
2339K,,,,
2340N,,,,
2341E,,,,
2342N,,,,
2343N,,,,
2344E,,3.25,"7/9, 13/9",
2345K,,,,
2346E,,,,
2347N,,,,
2348N,,,,
2349E,,,,
2350N,,,,
2351E,,,,
2352E,,,,
2353E,,,,
2354E,,0.5,29-Oct,
2355T,,,,
2356E,,,,
2357E,,,,
2358E,,,,
2359N,,,,
2360E,,,,
2361E,,,,
2362E,,,,
2363E,,,,
2364E,,,,
2365N,,,,
2366E,,,,
2367E,,,,
2368E,,,,
2369E,,,,
2370E,,,,
2371N,,,,
2372N,,,,
2373E,,,,
2374N,,,,
2375N,,,,
2376N,,0.75,15-Sep,
2377N,,,,
2378N,,,,
2379E,,,,
2380T,,,,
2381E,,1,15-Sep,
2382T,,,,
2383E,,,,
2384E,,,,
2385E,,,,
2386E,,,,
2387E,,,,
2388N,,,,
2389N,,,,
2390N,,,,
2391E,,,,
2392E,,,,
2393E,,,,
2394K,,1,28-Oct,
2395E,,7.75,"13/10, 14/10, 15/10, 18/10, 19/10, 22/10",
2396N,,,,
2397T,,,,
2398N,,,,
2399N,,,,
2400N,,,,
2401N,,,,
2402N,,1.75,"4/10, 5/10",
2403E,,3,11-Oct,
2404E,,,,
2405E,,,,
2406T,,3.5,"1/10, 4/10",
2407E,,2.5,12-Oct,
2408E,,,,
2409E,,16.75,"4/10, 5/10, 6/10, 7/10, 12/10",
2410E,,,,
2411T,,,,
2412E,,,,
2413E,,,,
2414N,,,,
2415E,,,,
2416E,,,,
2417T,,,,
2418E,,,,
2419E,,0.75,"18/10, 19/10",
2420T,,0.75,29-Oct,
2421N,,,,
2422N,,,,
2423E,,,,
2424E,,,,
2425E,,,,
2426E,,0.75,18-Oct,
2427T,,,,
2428T,,,,
2429E,,1.25,"15/10, 18/10",
2430E,,,,
2431N,,,,
2432N,,0.5,28-Oct,
2433N,,3.5,1-Nov,
2434T,,,,
2435E,,1.5,18-Oct,
2436E,,,,
2437E,,,,
2438E,,20.5,"19/10, 20/10, 21/10, 28/10, 29/10",
2439T,,,,
2440N,,,,
2441T,,,,
2442E,,2,20-Oct,
2443T,,0.5,29-Oct,
2444T,,,,
2445T,,0.75,"29/10, 4/11",
2446N,,1.5,9-Nov,
2447E,,,,
2448T,,,,
2449N,,2.75,28-Oct,
2450N,,,,
2451E,,,,
2452E,,,,
2453T,,,,
2454E,,0.5,28-Oct,
2455T,,,,
2456T,,1.5,28-Oct,
2457T,,,,
2458T,,,,
2459E,,,,
2460K,,,,
2461N,,,,
2462E,,,,
2463N,,,,
2464N,,,,
2465E,,0.25,29-Oct,
2466E,,0.5,29-Oct,
2467K,,,,
2468E,,,,
2469T,,,,
2470N,,,,
2471E,,,,
2472N,,,,
2473K,,,,
2474E,,,,
2475E,,15,"4/11, 5/11, 8/11",
2476N,,,,
2477T,,,,
2478N,,,,
2479T,,,,
2480T,,,,
2481E,,,,
2482K,,,,
2483E,,,,
2484N,,,,
2485N,,,,
2486N,,,,
2487E,,12.75,"8/11, 9/11",
2488E,,,,
2489T,,,,
2490E,,,,
2491N,,,,
2491E,,,,
2492T,,,,
2493T,,,,
2494E,,,,
2495T,,,,
2496N,,,,
2497T,,,,
2498N,,,,
2499T,,,,
2500N,,,,
2501N,,,,
2502T,,,,
2503E,,,,
2504E,,,,
2505E,,,,
2506E,,,,
2507N,,,,
2508E,,,,
2509E,,,,
2510N,,,,
2511N,,,,
2512E,,,,
2513T,,,,
2514N,,,,
2514T,,,,
2515N,,,,
2516T,,,,
2517E,,,,
2518N,,,,
2519T,,,,
2520N,,,,
